fecha,codigo_municipio,areas
2022-11-18,20101,1964
2022-11-18,20105,1232
2022-11-18,30101,1477
2022-11-18,40101,1386
2022-11-18,40102,68
2022-11-18,40103,23
2022-11-18,40104,48
2022-11-18,40201,45
2022-11-18,40202,8
2022-11-18,40601,20
2022-11-18,40602,33
2022-11-18,40603,10
2022-11-18,40701,84
2022-11-18,40702,31
2022-11-18,41001,49
2022-11-18,41101,23
2022-11-18,41401,3
2022-11-18,50101,892
2022-11-18,50102,37
2022-11-18,50103,60
2022-11-18,50104,17
2022-11-18,50301,70
2022-11-18,50302,23
2022-11-18,50303,26
2022-11-18,51101,25
2022-11-18,51102,41
2022-11-18,51201,146
2022-11-18,51202,84
2022-11-18,51203,72
2022-11-18,51401,48
2022-11-18,51402,25
2022-11-18,60101,1175
2022-11-18,60202,43
2022-11-18,60601,13
2022-11-18,70101,2845
2022-11-18,80101,408
2022-11-18,80102,11
2022-11-18,80201,319
2022-11-18,80202,186
2022-11-18,80302,78
2022-11-18,80304,45
2022-11-18,80401,62
2022-11-18,80402,7
2022-11-18,80501,70
2022-11-18,80601,13
2022-11-18,80602,29
2022-11-18,80701,17
2022-11-18,80702,19
2022-11-18,80703,2
2022-11-18,80801,63
2022-11-18,80802,21
2022-11-18,80803,21
2022-11-18,90101,210
2022-11-18,90102,44
2022-11-18,90103,5
2022-11-18,90104,2
2022-11-18,90201,22
2022-11-18,90202,3
2022-11-18,90203,19
2022-11-18,90301,16
2022-11-18,90302,21
2022-11-18,90303,18
2022-11-18,90401,7
2022-11-18,90402,4
2022-11-18,90501,7
2022-11-18,90502,6
